"VIEW_NAME";"COLUMN_NAME";"REPORT_NAME"
"CORE_APP_HISTORY_V";"T1";"{Mon fmDD, -1}"
"CORE_APP_HISTORY_V";"T10";"{Mon fmDD, -10}"
"CORE_APP_HISTORY_V";"T11";"{Mon fmDD, -11}"
"CORE_APP_HISTORY_V";"T12";"{Mon fmDD, -12}"
"CORE_APP_HISTORY_V";"T13";"{Mon fmDD, -13}"
"CORE_APP_HISTORY_V";"T14";"{Mon fmDD, -14}"
"CORE_APP_HISTORY_V";"T2";"{Mon fmDD, -2}"
"CORE_APP_HISTORY_V";"T3";"{Mon fmDD, -3}"
"CORE_APP_HISTORY_V";"T4";"{Mon fmDD, -4}"
"CORE_APP_HISTORY_V";"T5";"{Mon fmDD, -5}"
"CORE_APP_HISTORY_V";"T6";"{Mon fmDD, -6}"
"CORE_APP_HISTORY_V";"T7";"{Mon fmDD, -7}"
"CORE_APP_HISTORY_V";"T8";"{Mon fmDD, -8}"
"CORE_APP_HISTORY_V";"T9";"{Mon fmDD, -9}"
"CORE_APP_HISTORY_V";"TODAY";"{Mon fmDD, -0}"
"CORE_DAILY_VERSIONS_V";"APEX_PATCHED";"APEX Patched"
"CORE_DAILY_VERSIONS_V";"APEX_VERSION";"APEX Version"
"CORE_DAILY_VERSIONS_V";"DB_VERSION";"DB Version"
"CORE_DAILY_VERSIONS_V";"ORDS_VERSION";"ORDS Version"
